timestamp,temperature,humidity,moisture
1782832037272,33.9,33.0,7
1782832047285,33.7,33.0,11
1782832057299,33.5,33.0,12
1782832067310,33.4,33.0,9
1782832077325,33.3,34.0,9
1782832087339,33.0,34.0,10
1782832097350,32.9,34.0,11
1782832107363,33.0,35.0,12
1782832117379,32.8,34.0,12
1782832127393,32.9,34.0,10
1782832137403,32.7,34.0,11
1782832147418,32.8,34.0,9
1782832157429,32.6,34.0,9
1782832167452,32.9,34.0,10
1782832177456,33.0,35.0,10
1782832187471,33.0,35.0,11
1782832197483,33.0,35.0,10
1782832207496,33.0,35.0,9
1782832217512,32.9,34.0,10
1782832227525,33.0,34.0,12
1782832237536,33.0,34.0,9
1782832247550,33.0,34.0,12
1782832257562,33.0,34.0,11
1782832267574,32.9,33.0,10
1782832277589,33.0,34.0,9
1782832287602,33.1,34.0,10
1782832297615,33.2,34.0,11
1782832307630,33.1,34.0,10
1782832317643,33.3,34.0,9
1782832327660,33.3,34.0,8
