timestamp,temperature,humidity,moisture
1782402671625,31.1,32.0,33
1782402681635,31.2,32.0,32
1782402691647,31.1,32.0,33
1782402701662,31.1,32.0,33
1782402711676,31.0,32.0,32
1782402721689,31.1,31.0,33
1782402731702,31.0,31.0,32
1782402741715,31.0,31.0,33
1782402751727,31.0,32.0,33
1782402761741,30.7,30.0,31
1782402771758,30.9,30.0,31
1782402781768,30.8,30.0,30
1782402791781,30.9,31.0,33
1782402801795,30.6,31.0,34
1782402811809,30.8,30.0,33
1782402821823,30.7,30.0,33
1782402831836,30.9,31.0,30
1782402841849,30.8,30.0,33
1782402851863,30.7,30.0,34
1782402861876,30.9,30.0,34
1782402871891,30.8,31.0,33
1782402881904,30.8,30.0,32
1782402891916,30.6,30.0,30
1782402901929,30.8,31.0,35
1782402911946,30.8,31.0,30
1782402921958,30.7,31.0,34
1782402931972,30.9,31.0,31
1782402941986,30.8,31.0,33
1782402951997,30.9,31.0,34
1782402962011,30.8,31.0,34
